STATBL_ID,DTACYCLE_CD,WRTTIME_IDTFR_ID,GRP_ID,GRP_NM,CLS_ID,CLS_NM,ITM_ID,ITM_NM,DTA_VAL,UI_NM,GRP_FULLNM,CLS_FULLNM,ITM_FULLNM,WRTTIME_DESC
T248223134698125,QY,202403,,,520004,광화문,100001,임대료,91.3674040198851,천원/㎡,,서울>도심>광화문,임대료,2024년 3분기
T248223134698125,QY,202403,,,520005,남대문,100001,임대료,69.6475336443628,천원/㎡,,서울>도심>남대문,임대료,2024년 3분기
T248223134698125,QY,202403,,,520006,동대문,100001,임대료,52.4996195349425,천원/㎡,,서울>도심>동대문,임대료,2024년 3분기
T248223134698125,QY,202403,,,520007,명동,100001,임대료,137.729447756511,천원/㎡,,서울>도심>명동,임대료,2024년 3분기
T248223134698125,QY,202403,,,520255,방산시장,100001,임대료,72.8516083587697,천원/㎡,,서울>도심>방산시장,임대료,2024년 3분기
T248223134698125,QY,202403,,,520257,북촌,100001,임대료,97.3336209959896,천원/㎡,,서울>도심>북촌,임대료,2024년 3분기
T248223134698125,QY,202403,,,520256,서촌,100001,임대료,43.6071396389631,천원/㎡,,서울>도심>서촌,임대료,2024년 3분기
T248223134698125,QY,202403,,,520008,시청,100001,임대료,95.7183316989947,천원/㎡,,서울>도심>시청,임대료,2024년 3분기
T248223134698125,QY,202403,,,520009,을지로,100001,임대료,67.8912600682256,천원/㎡,,서울>도심>을지로,임대료,2024년 3분기
T248223134698125,QY,202403,,,520010,종로,100001,임대료,69.2968567108085,천원/㎡,,서울>도심>종로,임대료,2024년 3분기
T248223134698125,QY,202403,,,520011,충무로,100001,임대료,51.9389869991949,천원/㎡,,서울>도심>충무로,임대료,2024년 3분기
T248223134698125,QY,202403,,,520013,강남대로,100001,임대료,80.2519301097115,천원/㎡,,서울>강남>강남대로,임대료,2024년 3분기
T248223134698125,QY,202403,,,520014,교대역,100001,임대료,43.590067069758,천원/㎡,,서울>강남>교대역,임대료,2024년 3분기
T248223134698125,QY,202403,,,520015,남부터미널,100001,임대료,41.9022480243064,천원/㎡,,서울>강남>남부터미널,임대료,2024년 3분기
T248223134698125,QY,202403,,,520016,논현역,100001,임대료,67.7571106486299,천원/㎡,,서울>강남>논현역,임대료,2024년 3분기
T248223134698125,QY,202403,,,520017,도산대로,100001,임대료,54.4926883832597,천원/㎡,,서울>강남>도산대로,임대료,2024년 3분기
T248223134698125,QY,202403,,,520018,신사역,100001,임대료,70.248333624585,천원/㎡,,서울>강남>신사역,임대료,2024년 3분기
T248223134698125,QY,202403,,,520019,압구정,100001,임대료,55.8924361180144,천원/㎡,,서울>강남>압구정,임대료,2024년 3분기
T248223134698125,QY,202403,,,520020,청담,100001,임대료,65.0633594341435,천원/㎡,,서울>강남>청담,임대료,2024년 3분기
T248223134698125,QY,202403,,,520021,테헤란로,100001,임대료,71.6387903233959,천원/㎡,,서울>강남>테헤란로,임대료,2024년 3분기
T248223134698125,QY,202403,,,520023,공덕역,100001,임대료,59.0013945330311,천원/㎡,,서울>영등포신촌>공덕역,임대료,2024년 3분기
T248223134698125,QY,202403,,,520024,당산역,100001,임대료,38.2944958560969,천원/㎡,,서울>영등포신촌>당산역,임대료,2024년 3분기
T248223134698125,QY,202403,,,520025,동교/연남,100001,임대료,55.0474088030859,천원/㎡,,서울>영등포신촌>동교/연남,임대료,2024년 3분기
T248223134698125,QY,202403,,,520026,망원역,100001,임대료,40.6167539619203,천원/㎡,,서울>영등포신촌>망원역,임대료,2024년 3분기
T248223134698125,QY,202403,,,520027,신촌/이대,100001,임대료,40.8604464336948,천원/㎡,,서울>영등포신촌>신촌/이대,임대료,2024년 3분기
T248223134698125,QY,202403,,,520028,영등포역,100001,임대료,37.9599434157417,천원/㎡,,서울>영등포신촌>영등포역,임대료,2024년 3분기
T248223134698125,QY,202403,,,520029,홍대/합정,100001,임대료,60.230328744764,천원/㎡,,서울>영등포신촌>홍대/합정,임대료,2024년 3분기
T248223134698125,QY,202403,,,520031,가락시장,100001,임대료,31.2640505939704,천원/㎡,,서울>기타>가락시장,임대료,2024년 3분기
T248223134698125,QY,202403,,,520032,건대입구,100001,임대료,50.4259913149098,천원/㎡,,서울>기타>건대입구,임대료,2024년 3분기
T248223134698125,QY,202403,,,520033,경희대,100001,임대료,47.5134893383732,천원/㎡,,서울>기타>경희대,임대료,2024년 3분기
T248223134698125,QY,202403,,,520034,군자,100001,임대료,35.0672308932366,천원/㎡,,서울>기타>군자,임대료,2024년 3분기
T248223134698125,QY,202403,,,520258,까치산역,100001,임대료,30.5989583333333,천원/㎡,,서울>기타>까치산역,임대료,2024년 3분기
T248223134698125,QY,202403,,,520035,노량진,100001,임대료,30.735328230109,천원/㎡,,서울>기타>노량진,임대료,2024년 3분기
T248223134698125,QY,202403,,,520036,독산/시흥,100001,임대료,31.2801500965164,천원/㎡,,서울>기타>독산/시흥,임대료,2024년 3분기
T248223134698125,QY,202403,,,520037,뚝섬,100001,임대료,56.8243532982331,천원/㎡,,서울>기타>뚝섬,임대료,2024년 3분기
T248223134698125,QY,202403,,,520038,목동,100001,임대료,40.3386235646895,천원/㎡,,서울>기타>목동,임대료,2024년 3분기
T248223134698125,QY,202403,,,520039,미아사거리,100001,임대료,40.165072920562,천원/㎡,,서울>기타>미아사거리,임대료,2024년 3분기
T248223134698125,QY,202403,,,520040,불광역,100001,임대료,39.6625586258705,천원/㎡,,서울>기타>불광역,임대료,2024년 3분기
T248223134698125,QY,202403,,,520041,사당,100001,임대료,45.1256578897113,천원/㎡,,서울>기타>사당,임대료,2024년 3분기
T248223134698125,QY,202403,,,520042,상계역,100001,임대료,24.5709148618029,천원/㎡,,서울>기타>상계역,임대료,2024년 3분기
T248223134698125,QY,202403,,,520043,상봉역,100001,임대료,44.7545610097553,천원/㎡,,서울>기타>상봉역,임대료,2024년 3분기
T248223134698125,QY,202403,,,520044,서울대입구역,100001,임대료,67.3469740360153,천원/㎡,,서울>기타>서울대입구역,임대료,2024년 3분기
T248223134698125,QY,202403,,,520045,성신여대,100001,임대료,58.2068167054337,천원/㎡,,서울>기타>성신여대,임대료,2024년 3분기
T248223134698125,QY,202403,,,520046,수유,100001,임대료,40.2232187885512,천원/㎡,,서울>기타>수유,임대료,2024년 3분기
T248223134698125,QY,202403,,,520047,숙명여대,100001,임대료,45.2869908155833,천원/㎡,,서울>기타>숙명여대,임대료,2024년 3분기
T248223134698125,QY,202403,,,520048,신림역,100001,임대료,67.3972389981064,천원/㎡,,서울>기타>신림역,임대료,2024년 3분기
T248223134698125,QY,202403,,,520259,약수역,100001,임대료,75.0157736361871,천원/㎡,,서울>기타>약수역,임대료,2024년 3분기
T248223134698125,QY,202403,,,520049,연신내,100001,임대료,44.7172957404881,천원/㎡,,서울>기타>연신내,임대료,2024년 3분기
T248223134698125,QY,202403,,,520050,오류동역,100001,임대료,55.6870464355168,천원/㎡,,서울>기타>오류동역,임대료,2024년 3분기
T248223134698125,QY,202403,,,520051,왕십리,100001,임대료,43.3257519312968,천원/㎡,,서울>기타>왕십리,임대료,2024년 3분기
T248223134698125,QY,202403,,,520052,용산역,100001,임대료,37.2285708792124,천원/㎡,,서울>기타>용산역,임대료,2024년 3분기
T248223134698125,QY,202403,,,520053,이태원,100001,임대료,66.8713234827021,천원/㎡,,서울>기타>이태원,임대료,2024년 3분기
T248223134698125,QY,202403,,,520054,잠실/송파,100001,임대료,36.4441024276856,천원/㎡,,서울>기타>잠실/송파,임대료,2024년 3분기
T248223134698125,QY,202403,,,520055,잠실새내역,100001,임대료,33.6604758569365,천원/㎡,,서울>기타>잠실새내역,임대료,2024년 3분기
T248223134698125,QY,202403,,,520056,장안동,100001,임대료,34.3995735039318,천원/㎡,,서울>기타>장안동,임대료,2024년 3분기
T248223134698125,QY,202403,,,520057,천호,100001,임대료,55.9992764172316,천원/㎡,,서울>기타>천호,임대료,2024년 3분기
T248223134698125,QY,202403,,,520058,청량리,100001,임대료,40.394726367126,천원/㎡,,서울>기타>청량리,임대료,2024년 3분기
T248223134698125,QY,202403,,,520059,혜화동,100001,임대료,60.8069024120562,천원/㎡,,서울>기타>혜화동,임대료,2024년 3분기
T248223134698125,QY,202403,,,520060,화곡,100001,임대료,29.8644040479442,천원/㎡,,서울>기타>화곡,임대료,2024년 3분기
T248223134698125,QY,202404,,,520004,광화문,100001,임대료,91.5728387248247,천원/㎡,,서울>도심>광화문,임대료,2024년 4분기
T248223134698125,QY,202404,,,520005,남대문,100001,임대료,69.7182221504117,천원/㎡,,서울>도심>남대문,임대료,2024년 4분기
T248223134698125,QY,202404,,,520006,동대문,100001,임대료,52.5082338381315,천원/㎡,,서울>도심>동대문,임대료,2024년 4분기
T248223134698125,QY,202404,,,520007,명동,100001,임대료,138.953169124569,천원/㎡,,서울>도심>명동,임대료,2024년 4분기
T248223134698125,QY,202404,,,520255,방산시장,100001,임대료,72.9075682867653,천원/㎡,,서울>도심>방산시장,임대료,2024년 4분기
T248223134698125,QY,202404,,,520257,북촌,100001,임대료,97.4859129905071,천원/㎡,,서울>도심>북촌,임대료,2024년 4분기
T248223134698125,QY,202404,,,520256,서촌,100001,임대료,43.6521941549275,천원/㎡,,서울>도심>서촌,임대료,2024년 4분기
T248223134698125,QY,202404,,,520008,시청,100001,임대료,95.7536094967034,천원/㎡,,서울>도심>시청,임대료,2024년 4분기
